"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"01-export-networks"
"06/17/2026 15:47:22:763 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","expt-seed","num-nodes","network-type","avg-degree","rewiring-prob","initial-infected","max-ticks","[step]","safe-net-label","count links","num-nodes","bs-out-mean-degree"
"1","other","10001","2000","Erdos-Renyi (random)","6","0.07","5","3000","0","ER","5979","2000","5.979"
"3","other","10003","2000","Erdos-Renyi (random)","6","0.07","5","3000","0","ER","5979","2000","5.979"
"2","other","10002","2000","Erdos-Renyi (random)","6","0.07","5","3000","0","ER","6083","2000","6.083"
