"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"08-dynamics-trajectory-ER"
"06/17/2026 17:45:00:344 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","recovery-distribution","power-law-lambda","lognormal-sigma","max-ticks","infection-prob","[step]","bs-out-prev-grp","bs-out-prev-mf","bs-out-count-S","bs-out-count-I","bs-out-mean-degree"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","10","0.0025","0.0015797501693561892","1995","5","5.979"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","13","5.0E-4","0.0013768848361176986","1999","1","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","9","0.0025","0.0016538476672021505","1995","5","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","2","0.001","0.002280416324733006","1998","2","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","11","0.002","0.001508990665662212","1996","4","5.979"
"6","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","14","5.0E-4","0.0013152554126723696","1999","1","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","10","0.004","0.0015797501693561892","1992","8","5.979"
"3","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","12","0.0025","0.001441417190499135","1995","5","5.979"
"5","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","3","0.001","0.002178024491910692","1998","2","5.979"
"2","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","exponential","4.24","1","10000","0.026","11","0.004","0.001508990665662212","1992","8","5.979"
