"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"06-baseline-ER-power-law-Tang"
"06/17/2026 16:24:51:169 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","power-law-lambda","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"42","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","7","1","7","0.0017857142857142859","0.1","5.979"
"43","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","9","1","9","0.001888888888888889","0.1","5.979"
"45","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","5","1","5","0.0018000000000000002","0.1","5.979"
"44","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","21","1","21","0.0016666666666666668","0.1","5.979"
"46","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","7","1","7","0.001571428571428572","0.1","5.979"
"47","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","9","1","9","0.0011111111111111113","0.1","5.979"
"48","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.02","9","1","9","0.0034444444444444444","0.1","5.979"
"49","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","8","1","8","0.0024374999999999996","0.10999999999999999","5.979"
"51","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","16","1","16","0.0011562500000000002","0.10999999999999999","5.979"
"50","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","10","1","10","0.0017500000000000003","0.10999999999999999","5.979"
"52","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","9","1","9","0.0016111111111111113","0.10999999999999999","5.979"
"54","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","6","1","6","0.002","0.10999999999999999","5.979"
"53","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","8","1","8","0.0013750000000000004","0.10999999999999999","5.979"
"55","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","7","1","7","0.0020000000000000005","0.10999999999999999","5.979"
"57","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","8","1","8","0.0024375000000000004","0.10999999999999999","5.979"
