"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"05-baseline-empirical-threshold-ER"
"06/17/2026 15:47:41:073 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"45","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","35","1","35","0.0012714285714285724","0.1","5.979"
"46","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","12","1","12","0.0017083333333333336","0.1","5.979"
"47","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","15","1","15","0.0011666666666666668","0.1","5.979"
"48","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.02","21","1","21","0.0020952380952380958","0.1","5.979"
"50","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","20","1","20","8.250000000000002E-4","0.10999999999999999","5.979"
"49","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","25","1","25","8.800000000000002E-4","0.10999999999999999","5.979"
"51","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","21","1","21","9.523809523809529E-4","0.10999999999999999","5.979"
"52","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","12","1","12","0.0010833333333333335","0.10999999999999999","5.979"
"53","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","22","1","22","0.0014318181818181825","0.10999999999999999","5.979"
"54","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","8","1","8","0.0013125000000000003","0.10999999999999999","5.979"
"56","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","4","1","4","0.001","0.10999999999999999","5.979"
"57","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","26","1","26","0.0017115384615384623","0.10999999999999999","5.979"
"55","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","19","1","19","0.0019210526315789473","0.10999999999999999","5.979"
"58","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","21","1","21","0.0010714285714285717","0.10999999999999999","5.979"
"60","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","12","1","12","0.0012083333333333332","0.10999999999999999","5.979"
"59","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","8","1","8","8.125000000000001E-4","0.10999999999999999","5.979"
"61","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","32","1","32","0.0011406250000000006","0.10999999999999999","5.979"
"63","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","6","1","6","0.0011666666666666665","0.10999999999999999","5.979"
"64","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","4","1","4","0.001","0.10999999999999999","5.979"
"62","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","19","1","19","9.736842105263162E-4","0.10999999999999999","5.979"
"65","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","11","1","11","9.545454545454548E-4","0.10999999999999999","5.979"
"66","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","10","1","10","7.000000000000003E-4","0.10999999999999999","5.979"
"67","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","9","1","9","0.0014444444444444446","0.10999999999999999","5.979"
"69","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","12","1","12","0.0011666666666666668","0.10999999999999999","5.979"
"68","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","33","1","33","9.090909090909094E-4","0.10999999999999999","5.979"
"70","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","8","1","8","8.750000000000001E-4","0.10999999999999999","5.979"
"71","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","13","1","13","0.0012307692307692308","0.10999999999999999","5.979"
"72","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.022","7","1","7","5.0E-4","0.10999999999999999","5.979"
"73","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","41","1","41","0.0016341463414634154","0.12","5.979"
"74","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","14","1","14","0.0015000000000000002","0.12","5.979"
"75","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","43","1","43","0.0010000000000000007","0.12","5.979"
"77","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.024","15","1","15","0.0016333333333333339","0.12","5.979"
