"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"07-baseline-ER-lognormal-Tang"
"06/17/2026 17:16:22:190 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","lognormal-sigma","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"43","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.02","12","1","12","0.001041666666666667","0.1","5.979"
"44","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.02","16","1","16","0.0013125000000000003","0.1","5.979"
"47","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.02","16","1","16","6.250000000000003E-4","0.1","5.979"
"46","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.02","19","1","19","6.578947368421057E-4","0.1","5.979"
"45","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.02","60","1","60","6.250000000000004E-4","0.1","5.979"
"48","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.02","14","1","14","0.001285714285714286","0.1","5.979"
"49","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","16","1","16","8.437500000000003E-4","0.10999999999999999","5.979"
"50","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","8","1","8","0.001375","0.10999999999999999","5.979"
"51","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","5","1","5","0.0010000000000000002","0.10999999999999999","5.979"
"52","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","12","1","12","0.0012083333333333336","0.10999999999999999","5.979"
"53","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","16","1","16","7.812500000000002E-4","0.10999999999999999","5.979"
"54","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","8","1","8","0.0012500000000000002","0.10999999999999999","5.979"
"55","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","7","1","7","0.0016428571428571427","0.10999999999999999","5.979"
"57","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","15","1","15","0.002466666666666667","0.10999999999999999","5.979"
"56","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","30","1","30","0.0010666666666666674","0.10999999999999999","5.979"
"58","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","26","1","26","0.0010769230769230773","0.10999999999999999","5.979"
"59","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","28","1","28","7.500000000000003E-4","0.10999999999999999","5.979"
"60","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","14","1","14","0.0011428571428571432","0.10999999999999999","5.979"
"61","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","24","1","24","0.0016250000000000008","0.10999999999999999","5.979"
"62","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","7","1","7","8.571428571428573E-4","0.10999999999999999","5.979"
"63","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","10","1","10","0.0010500000000000002","0.10999999999999999","5.979"
"64","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","10","1","10","6.500000000000002E-4","0.10999999999999999","5.979"
"66","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","10","1","10","9.500000000000001E-4","0.10999999999999999","5.979"
"65","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","47","1","47","8.723404255319156E-4","0.10999999999999999","5.979"
"67","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.022","17","1","17","7.647058823529414E-4","0.10999999999999999","5.979"
