recovery_regime,net_label,random_seed,beta_pred,beta_hat_surv_50,beta_hat_surv_50_ci_low,beta_hat_surv_50_ci_high,ratio_surv_50_over_pred,ratio_ci_low,ratio_ci_high,beta_hat_logit_ed50_surv
exponential,ER,10001,0.0278527163754995,0.046,0.046,0.048,1.6515444806117248,1.6515444806117248,1.723350762377452,0.048121697624501684
exponential,ER,10002,0.027622878404742444,0.046,0.044,0.05,1.6652862647399727,1.592882514099104,1.8100937660217096,0.045561425647988596
exponential,ER,10003,0.027875012958651798,0.052,0.044,0.054,1.8654699847900995,1.5784746025146996,1.9372188303589497,0.04932118336284449
lognormal (Tang),ER,10001,0.0278527163754995,0.05,0.046,0.052,1.7951570441431792,1.6515444806117248,1.866963325908906,0.05176791876046087
lognormal (Tang),ER,10002,0.027622878404742444,0.054,0.046,0.056,1.954901267303446,1.6652862647399727,2.0273050179443146,0.05267369983542708
lognormal (Tang),ER,10003,0.027875012958651798,0.052,0.047950000000000007,0.054,1.8654699847900995,1.7201785725131786,1.9372188303589497,0.051803015032268813
power law (Tang),ER,10001,0.0278527163754995,0.044,0.044,0.048,1.5797381988459975,1.5797381988459975,1.723350762377452,0.041419319735067406
power law (Tang),ER,10002,0.027622878404742444,0.044,0.044,0.044,1.592882514099104,1.592882514099104,1.592882514099104,0.04520113758928178
power law (Tang),ER,10003,0.027875012958651798,0.044,0.044,0.048,1.5784746025146996,1.5784746025146996,1.7219722936523998,0.04261035979950617
